;Unnamed: 0;date;truth_o_meter;statement;tags;url;summary
11;113;March 10, 2022;barely-true; Donald Trump s appeasement of Putin wasn t just a personal act of treason, it s the Republican Party s official position. ;['Legal Issues', 'Foreign Policy', 'Patriotism', 'Ad Watch', 'Ukraine', 'Russia', 'VoteVets'];https://www.politifact.com/factchecks/2022/mar/10/votevets/trump-acts-not-treason-and-gop-platform-reducing-u/;"Donald Trump’s actions regarding Ukraine led to his impeachment but did not rise to the level of treason, which is defined in the U.S. Constitution.
This claim from a veterans advocacy group refers to a wording change in the Republican Party platform that pertains to arming Ukraine in its fight against Russia.
But the platform does not amount to an official policy of appeasing Russian President Vladimir Putin, as it still contains language about assisting Ukraine and warning Russia about aggression against Ukraine or other nations.
"
12;123;April 22, 2022;false; America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government. ;['Facebook Fact-checks', 'Ukraine', 'Facebook posts'];https://www.politifact.com/factchecks/2022/apr/22/facebook-posts/us-not-orchestrating-takeover-ukraine/;" The U.S. has provided more financial, humanitarian and military support to Ukraine than any other nation since the outbreak of war, according to the Kiel Institute for the World Economy’s Ukraine Support Tracker. 
 The U.S. has not sent combat troops to Ukraine.
 There is no evidence to support the claim that a shadow government has infiltrated and overthrown the U.S. government.  
"
13;126;April 20, 2022;false; Vladimir Putin ended the Rothschild s control over Russia nationalizing the Russian centralized bank. ;['Foreign Policy', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/putin-did-not-nationalize-russian-central-bank-and/;" Russian President Vladimir Putin was not responsible for the nationalization of the Russian centralized bank, which took place in 1917.
 The Rothschild family banking business has had an office in Russia since the 1990s, but it has no oversight over the country’s currency or monetary policies, which are controlled by the Bank of Russia. 
 The Rothschild family long has been the target of conspiracy theories, and their wealth is believed to be responsible for inspiring the anti-Semitic trope that Jewish people “control” the world’s money.

"
14;127;April 20, 2022;false; After Russia invaded Ukraine, Google Maps opened all military and strategic facilities in Russia. ;['Technology', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/google-maps-did-not-change-blurring-settings-revea/;" Google told PolitiFact that it has not made any “blurring changes” to its satellite images of Russia.
 Some of the Russian facilities that social media users claim are now suddenly visible have been available in high resolution on Google platforms for years.
"
15;133;April 18, 2022;false; Ukraine was responsible for the Kramatorsk train station bombing. ;['National', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/apr/18/facebook-posts/no-evidence-ukraine-attacked-train-station-one-its/;"There’s no credible evidence that Ukraine was behind the April 8 attack at the Kramatorsk train station. A video used to bolster this claim is fake — it did not come from the BBC.
The claim has largely been spread by pro-Kremlin accounts following reports of civilian casualties and contradict earlier Russian posts that initially took credit for the bombing.
The Tochka-U missile used in the attack, and the serial number on it, isn’t proof that it came from the Ukrainian army. Several news reports, legitimate photos and videos show that Russia has used these missile systems recently.
"
16;147;March 22, 2022;pants-fire; The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had the makings of yet another false flag operation led the U.S. ;['Foreign Policy', 'Pundits', 'Facebook Fact-checks', 'PunditFact', 'Ukraine', 'Russia', 'Pearson Sharp'];https://www.politifact.com/factchecks/2022/mar/22/pearson-sharp/one-america-news-runs-conspiratorial-segment-claim/;"The aftermath of the attack on a maternity hospital in Mariupol, Ukraine, was captured on video and in photos showing that it was an actual attack.
A Pentagon spokesperson called OAN host Pearson Sharp’s claims “ridiculous.” Several independent experts who spoke to PolitiFact agreed that it was completely without merit. Russian officials have conceded the attack occurred.
"
17;149;March 18, 2022;pants-fire; What is happening here is not so different from what we re seeing happening in Russia, where you have got state TV and controlled messaging across the board. ;['National', 'Pundits', 'Technology', 'PunditFact', 'Ukraine', 'Russia', 'Tulsi Gabbard'];https://www.politifact.com/factchecks/2022/mar/18/tulsi-gabbard/tulsi-gabbard-falsely-claims-us-not-so-different-r/;"Since its invasion of Ukraine, Russia has restricted dissenting voices, independent news reporting and public discourse on social media platforms.
A new law in Russia threatens up to 15 years of prison time for spreading information about the war that authorities consider to be “false.”
There are no parallels in the U.S., where freedom of speech, expression and the press are safeguarded by the Constitution. Gabbard alleged censorship by social media companies, but experts say those claims are not supported by evidence.
"
18;238;March 7, 2022;barely-true; As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives. ;['Foreign Policy', 'Ad Watch', 'Ukraine', 'Russia', 'Evan McMullin'];https://www.politifact.com/factchecks/2022/mar/07/evan-mcmullin/evan-mcmullin-ad-portraying-gop-utah-sen-mike-lee-/;"The ad mixes present events, referring to the recent Russian invasion of Ukraine, with actions Lee took years ago.
Lee voted in 2017 against sanctions against Russia.
The ad is misleading in saying Lee’s votes over several years against large spending bills were evidence that he specifically opposed spending provisions in them to aid Ukraine.
"
19;242;March 3, 2022;barely-true; NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout. ;['Nuclear', 'Facebook Fact-checks', 'Coronavirus', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/03/facebook-posts/fema-added-covid-19-safety-measures-nuclear-explos/;"The website Ready.gov provides information on preparing for, responding to and mitigating emergencies. One page on the site provides safety guidelines, including social distancing and mask wearing, in the event of a nuclear explosion.
The Federal Emergency Management Agency said the language is not “new,” nor is it related to the Russia-Ukraine conflict. The language on distancing and masking was added during the first year of the COVID-19 pandemic.
"
20;243;February 28, 2022;barely-true; We have doubled our (oil) imports from Russia in the last year. ;['Energy', 'Foreign Policy', 'Pundits', 'PunditFact', 'Russia', 'Maria Bartiromo'];https://www.politifact.com/factchecks/2022/feb/28/maria-bartiromo/us-did-not-double-oil-imports-russia-last-year/;"The most recent data from the U.S. Energy Information Administration shows that the U.S. increased its oil imports from Russia by about 28% in the first 11 months of 2021.
The U.S. did double the amount of crude oil imported from Russia last year. But Russia accounts for only about 3% of overall U.S. crude oil imports in 2021.
"
21;244;February 28, 2022;barely-true; The United States buys 206,000 barrels of oil a day from Russia but shut down domestic oil production a year ago. ;['Energy', 'Facebook Fact-checks', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/feb/28/facebook-posts/no-us-did-not-end-its-domestic-oil-production-it-d/;"The U.S. imports oil from about 80 countries.
The federal government never ended domestic oil production in the U.S.
"
22;245;February 28, 2022;barely-true; NATO (under direction from the United States) is violating previous agreements and expanding eastward. ;['History', 'Foreign Policy', 'Pundits', 'PunditFact', 'Ukraine', 'Russia', 'Candace Owens'];https://www.politifact.com/factchecks/2022/feb/28/candace-owens/fact-checking-claims-nato-us-broke-agreement-again/;"No legal agreement prohibits NATO from expanding eastward.
Russians have argued that comments made by U.S. and other Western leaders during the negotiations over the reunification of Germany constituted a promise that NATO would not extend beyond then-East Germany. Those allegations have sparked decades of debate amongst those involved in the events, and scholars studying them.
Even scholars who say they believe western powers did offer the Soviet Union assurances about NATO expansion say Owens’ claim is misleading.
"
23;275;April 12, 2022;false; Poland palace that Biden visited is fake. ;['Corrections and Updates', 'Foreign Policy', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/apr/12/facebook-posts/no-bidens-trip-poland-wasnt-staged/;"Multiple photographs, videos and news articles show that President Joe Biden visited the Presidential Palace in Warsaw on March 26, where he met with President Andrzej Duda.
While there appears to be something covering the exterior of the building at the entrance, wider shots show the entirety of the building and courtyard. Duda’s office confirmed renovation work on the palace has begun.
Biden was also photographed and recorded during a visit with U.S. troops on March 25 and giving a speech on March 26.
"
24;287;April 7, 2022;false; Photo of injured Ukrainian woman was from 2018 Russia gas explosion. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Instagram posts'];https://www.politifact.com/factchecks/2022/apr/07/instagram-posts/iconic-photo-ukraine-war-not-russia-gas-explosion/;"Olena Kurilo, a teacher, was injured on Feb. 24, 2022, when a Russian missile strike hit her apartment complex in Chuhuiv, Ukraine.
Her photograph was taken by at least three journalists that day and she was interviewed on video.
Photos in news reports that day show the apartment complex is not the building damaged by a 2018 gas explosion in Russia.
"
25;291;March 3, 2022;pants-fire; The Russian army does not occupy Ukrainian territory. ;['Foreign Policy', 'Military', 'Ukraine', 'Russia', 'Russian Embassy in Canada'];https://www.politifact.com/factchecks/2022/mar/03/russian-embassy-canada/russias-pants-fire-claim-it-not-occupying-ukrainia/;" Not only does independent reporting find this notion to be wrong, but it is undermined by multiple statements by Russia’s own government relating Russian troops’ control of the Ukrainian cities of Chernobyl, Melitopol, and Kherson.
 Russia currently controls a variety of areas that had been internationally recognized as Ukrainian territory since 1991, which would meet the definition of occupation under international law.
"
26;293;March 1, 2022;pants-fire; Ukrainian fighter-ace known as the Ghost of Kyiv s real name is Samuyil Hyde. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/samuyil-hyde-internet-meme-not-ghost-kyiv-pilot/;"Sam Hyde is a comedian whose name has been used as an online meme since 2015, linked to tragic events throughout the world.
There is no evidence that the mysterious “Ghost of Kyiv” pilot in Ukraine actually exists.
If the pilot does exist, it’s not Samuyil Hyde.
"
27;294;February 21, 2022;pants-fire; Says Joe Biden risks war with Russia because Vladimir Putin doesn’t believe in transgender rights. ;['National', 'Ohio', 'Corrections and Updates', 'Foreign Policy', 'Military', 'Sexuality', 'Ukraine', 'Russia', 'J.D. Vance'];https://www.politifact.com/factchecks/2022/feb/21/jd-vance/jd-vance-says-transgender-rights-drives-looming-co/;"Ohio Senate candidate JD Vance said the State Department’s focus on transgender rights is inflaming the conflict with Russia in Ukraine.
Russia has placed as many as 150,000 troops near Ukraine’s borders.
Russia has said Ukraine’s ties to NATO are a key threat to Russia’s national security.
"
28;295;February 21, 2022;pants-fire; Russia has never attacked anyone throughout its history. ;['History', 'Foreign Policy', 'Military', 'Ukraine', 'Russia', 'Dmitry Peskov'];https://www.politifact.com/factchecks/2022/feb/21/dmitry-peskov/russian-spokesmans-statement-ignores-centuries-rus/;" Historians cite upwards of a dozen examples dating back to the 1500s in which Russia or the Soviet Union attacked another country without being militarily attacked first. 
 Russia may offer various justifications for why it attacked another country in these instances, but each of these examples involved militarily unprovoked actions by Russia or the Soviet Union. 
"
29;422;April 4, 2022;false; A video taken from a car driving through Bucha, Ukraine, shows a corpse moving his arm, and then in the rear view mirror the ‘corpse’ sits down. ;['National', 'Military', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Russian Ministry of Defense'];https://www.politifact.com/factchecks/2022/apr/04/russian-ministry-defense/russia-pushes-false-crisis-actor-claims-about-vide/;"The Russian Ministry of Defense and other top Russian officials claimed that a video of a car driving through Ukraine showed two crisis actors playing the role of dead Ukrainians in a staged massacre. On Telegram and Twitter, they claimed that the video showed one person moving their arm, and another person seen in the car’s mirror sitting up.
The video does not show a person raising an arm as the car drives by; it shows a mark floating across the car’s windshield — perhaps a drop of water or a speck of dirt.
The video does not show someone sitting up after the car drives by; it shows a stationary corpse through the lens of the car’s passenger-side mirror, which has distorting effects.
"
30;562;March 25, 2022;false; Ukrainian President Volodymyr Zelensky wore a Nazi cross symbol. ;['National', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/25/facebook-posts/zelenskys-shirt-bears-emblem-ukraine-armed-forces-/;"An Iron Cross visible on some of Zelensky’s military green T-shirts is not a Nazi symbol. It represents the official emblem of Ukraine’s armed forces and includes the country’s coat of arms in the center.
The Iron Cross is a commonly used, famous German military medal. It’s not a hate symbol on its own. It was turned into a Nazi symbol when the regime superimposed a swastika in the center.
"
31;566;March 23, 2022;false; Video shows Russian soldiers using weapons that have been in a cupboard since Soviet times. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/23/facebook-posts/video-appears-show-kenyan-soldiers-not-russians/;"The soldiers seen in the video don’t appear to be wearing Russian uniforms, an expert on land warfare said.
The uniforms appear to match those worn by soldiers in the Kenya Defence Forces.
A longer version of the video says the soldiers are members of the Kenyan military.
"
32;569;March 18, 2022;false; Putin Vows to ‘Crush’ Child Traffickers in Ukraine ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/18/facebook-posts/there-no-evidence-putin-invaded-ukraine-fight-chil/;" This claim originated in an article published by a website known for sharing misinformation, including one previous false claim on Ukraine. 
 Russia’s president stated many reasons for the invasion. Ending child trafficking was not among them.
 According to the U.S. State Department, Russia is failing to deal with human trafficking within its own borders.
"
33;570;March 17, 2022;false; A recent on-air protest can’t be real because there are no live on air television broadcasts in Russia. None. Ever. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/news-and-other-programs-are-broadcast-live-russian/;"An employee at state-owned Channel One in Russia recently interrupted a live news broadcast to protest the war in Ukraine.
Multiple experts say there are live news broadcasts and other live events on Russian TV.
A former employee of the station said that all Channel One news is live. An expert we spoke with said that’s because of the country’s many time zones.
"
34;572;March 17, 2022;false; Comparing the price of oil and gas in June 2008 to March 2022 shows that oil companies are price gouging. ;['National', 'Economy', 'Energy', 'Gas Prices', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/persistent-high-gas-prices-dont-prove-price-gougin/;"Experts who study the price of oil and gas said it can take weeks for gasoline prices to respond to changes in crude oil costs.
In 2008, an economic recession caused a supply shortage that drove up oil and gas prices.
Currently, Russia’s invasion of Ukraine, increased labor costs, the pandemic and additional taxes and inflation have all contributed to rising gasoline prices. The same factors weren’t at play in 2008, making direct comparisons misleading.
"
35;574;March 17, 2022;false; A West Virginia inspection sticker on an Uber proves the car was not in Ukraine. ;['West Virginia', 'National', 'Facebook Fact-checks', 'Ukraine', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/17/facebook-posts/news-video-shot-car-was-filmed-ukraine-not-west-vi/;"A West Virginia State Police captain confirmed that the Uber’s window decal was an expired inspection sticker from the state. But that doesn’t mean that the car itself wasn’t in Ukraine.
The video showing the car was recorded in Irpin, Ukraine, according to Reuters, which owns the video.
It's not uncommon for cars to be exported from the U.S. to other countries, including Ukraine.
"
36;702;March 14, 2022;false; Classified documents from Ukraine confirm without a shadow of a doubt that the Ukraine government was covertly preparing an offensive operation against Donbas, scheduled for March 2022. ;['National', 'Military', 'Ukraine', 'Russia', 'Tweets'];https://www.politifact.com/factchecks/2022/mar/14/tweets/no-document-doesnt-show-secret-ukrainian-military-/;"The document isn’t classified, and there are no direct statements in it about an attack on the Donbas. It makes references to a training camp on the opposite side of the country.
"
37;703;March 14, 2022;false;" Vice President Kamala Harris laughs at the plight of Ukraine; at idea of America offering assistance ";['Facebook Fact-checks', 'Ukraine', 'Russia', 'Bloggers'];https://www.politifact.com/factchecks/2022/mar/14/blog-posting/kamala-harris-did-not-laugh-ukraine-or-idea-us-off/;" Vice President Kamala Harris laughed while she and Poland’s President Andrzej Duda tried to decide who would answer first in response to a question, while simultaneous translations also were occuring, according to her spokesperson. Duda also laughed. 
 In her remarks that preceded and followed the laughter, Harris expressed concern about Ukraine and said there is a moral obligation to help Ukrainian refugees.
"
38;706;March 11, 2022;false; Joe Biden s cancellation of the Keystone pipeline dramatically increased Americans dependence on Russian oil. ;['Energy', 'Trade', 'Ad Watch', 'Russia', 'Mike Pence'];https://www.politifact.com/factchecks/2022/mar/11/mike-pence/mike-pences-group-falsely-blames-bidens-nixing-key/;"The Keystone XL pipeline was never built, so Biden’s canceling it didn’t make the U.S. more reliant on Russian oil.
After the U.S. placed economic sanctions on Venezuela in 2019, the U.S. began to buy more Russian oil.
"
39;707;March 10, 2022;false; China: U.S. has biological weapons labs in Ukraine. ;['Foreign Policy', 'Military', 'Facebook Fact-checks', 'Ukraine', 'Instagram posts'];https://www.politifact.com/factchecks/2022/mar/10/instagram-posts/china-repeats-false-claim-us-has-biolabs-ukraine/;" China was echoing a false claim first made by Russia. 
"
40;708;March 10, 2022;false; Two years ago we were drilling our own oil for $27 a barrel. Now, thanks to Joe Biden, we’re paying $105 a barrel to Russia. ;['National', 'Energy', 'Gas Prices', 'Facebook Fact-checks', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/10/facebook-posts/social-media-post-drilling-and-cost-russian-oil-mi/;"The U.S. was selling its oil for about $27 per barrel — not  drilling for that price, energy experts said. And, due to the pandemic, it was losing money in the process.
Energy analysts said that the notion that the U.S. has been paying $105 per barrel for Russian oil probably isn’t too far off, though it’s hard to pinpoint. In general, prices were going up throughout January and February, so the U.S. was paying more for all oil imports, not just those from Russia.
The current, higher prices are largely attributable to Russia’s war in Ukraine and to a sluggish response to energy demands after the pandemic slowdown.
"
41;710;March 9, 2022;false; Gas is high because they shut down production in the U.S. under the Biden administration. ;['Corrections and Updates', 'Energy', 'Gas Prices', 'Facebook Fact-checks', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/09/facebook-posts/oil-production-bidens-first-year-par-trump/;"Gas prices soared to an average $4.173 per gallon on March 8, according to AAA, breaking a 2008 record.
Oil production in the U.S. in President Joe Biden’s first year was on par with 2020 and higher than in two of the four years Trump was president.
Increased consumer demand, inflation and the war in Ukraine are among the factors in the rising price at the pump, experts say.
"
42;712;March 7, 2022;false; Ukraine issued a press release about Joe Biden ;['Foreign Policy', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/07/facebook-posts/press-conference-was-held-2020-orchestrated-russia/;" The press conference was held in May 2020 and featured a Ukrainian lawmaker, Andrii Derkach, who is described by U.S. officials as an active Russian agent. 
 Recordings of President Joe Biden that Derkach released corroborate Biden’s description of his dealings in Ukraine. 
"
43;714;March 7, 2022;false; The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country. ;['National', 'Military', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/07/facebook-posts/no-former-ukrainian-beauty-queen-has-not-joined-uk/;"The viral photograph shows Anastasiia Lenna, the 2015 Miss Grand Ukraine winner, posing with an airsoft gun. She confirmed that she did not join the Ukrainian military and said she posted the staged image to inspire people.
"
44;834;March 4, 2022;false; Image shows Ukrainian President Volodymyr Zelensky has joined the front lines with his troops. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/ukrainian-president-not-frontline-military/;" A photo of Ukrainian President Volodymyr Zelensky dressed in military fatigues is from 2021.
"
45;836;March 2, 2022;false; Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/02/facebook-posts/these-photos-molotov-cocktails-are-2014-protests-k/;"Four photos showing scenes of fire, billowing smoke and people engaged in a fight date back to 2014 anti-government protests in Ukraine.
"
46;839;February 28, 2022;false; A photo showing young children saluting troops was captured in Ukraine in 2022. ;['Foreign Policy', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Viral image'];https://www.politifact.com/factchecks/2022/feb/28/viral-image/photo-children-sending-ukrainian-troops-2016-not-2/;"The viral image of children waving off troops dates back to 2016. It does not depict the current conflict between Ukraine and Russia.
"
47;841;February 28, 2022;false; Actor Steven Seagal spotted among Russian special forces in Ukraine ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Joe Rogan'];https://www.politifact.com/factchecks/2022/feb/28/joe-rogan/action-star-steven-seagal-friend-putin-not-soldier/;"Podcaster Joe Rogan posted a fake CNN story that said action star Steven Seagal was spotted among Russian special forces in Ukraine. He later deleted the post, he said, because it was a “parody.”
CNN confirmed that the post purporting to be from its Twitter account was fake.
Seagal does have a friendship with Russian President Vladimir Putin, who granted him citizenship in 2016, and Seagal was once banned from Ukraine as a “national security threat.”
"
48;846;February 25, 2022;false; Russia is targeting U.S. biological weapons labs in Ukraine invasion. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Tweets'];https://www.politifact.com/factchecks/2022/feb/25/tweets/there-are-no-us-run-biolabs-ukraine-contrary-socia/;"There are no U.S.-run biological weapons labs operating in Ukraine.
The U.S. Defense Department and the Ukraine Ministry of Health have had a partnership since 2005 to improve public health laboratories and prevent the threat of outbreaks of infectious diseases.
That effort is part of the Cooperative Threat Reduction Program, which began in 1991 to reduce the threat of existing weapons of mass destruction programs in former Soviet Republics.
"
49;847;February 25, 2022;false; Ethnic Russians face genocide perpetrated the Kyiv regime. ;['National', 'Human Rights', 'Crime', 'Foreign Policy', 'Military', 'Ukraine', 'Russia', 'Vladimir Putin'];https://www.politifact.com/factchecks/2022/feb/25/vladimir-putin/putin-repeats-long-running-claim-genocide-ukraine/;"Despite multiple claims of a Ukrainian genocide against ethnic Russians, there is no evidence to support it.
International bodies that include Russian representatives report that civilian deaths have plummeted since 2014.
Russia’s ambassador to the U.S. relied on misleading and outdated evidence to back the claim.
"
