,Unnamed: 0,date,truth_o_meter,statement,tags,url,shortExplanation_prep,summary
11,57,"October 6, 2021",mostly-true, There are precious few religions that actually say you cannot get vaccinated. ,"['National', 'Corrections and Updates', 'Religion', 'Coronavirus', 'Anthony Fauci']",https://www.politifact.com/factchecks/2021/oct/06/anthony-fauci/few-religions-ban-vaccination-counts-little-religi/,"Fauci said that very few religions prohibit vaccination. A survey of religious beliefs Vanderbilt University backs that up. The survey named five religions that stand against vaccinations, and 24 that accept them. Fauci acknowledged that assessing a person’s religious beliefs can be complicated. The standard for American courts is not a formal stance a religious organization but whether a person’s belief is genuinely religious and sincere. Fauci’s statement is correct, but there’s a lot more to unpack.","There are hundreds of religions, but in one summary tally, about five religions ban vaccinations, compared with at least 24 that don’t.
People can claim religious exemptions to vaccination mandates, but they must prove that their stance is based on a sincerely held religious belief.
Employers must accommodate religious beliefs, but not if it would impose an undue burden on their operations.
Recent U.S. Supreme Court rulings indicate that governments should seek alternatives to mandates.
"
12,64,"February 7, 2022",half-true, Binding masks to your face with gauze and wrapping pantyhose around your face and mask are now suggestions to make your mask more ‘effective.’ ,"['Coronavirus', 'Facebook posts']",https://www.politifact.com/factchecks/2022/feb/07/facebook-posts/research-fit-hacks-could-help-improve-future-mask-/,"A Facebook post suggested that binding a mask to your face with gauze, wearing a section of pantyhose over your head and mask and other approaches were the newest suggestions to make your mask more ‘effective.’ The post frames the fit hacks shown in the screenshot as recommendations. The list was actually part of a Vice article that explained one study about ways to improve mask fit. showing the list of fit hacks without context, the Facebook post mischaracterized both the Vice article and the research it was based on. The researchers acknowledged that most of the hacks were impractical.","Vice wrote about research that assessed the effectiveness of popular “hacks” meant to improve the fit of KN95 and surgical masks.
The researchers evaluated seven different “fit hacks,” some of which involved rubber bands, tape and pantyhose.
The study concluded that while some hacks improved the effectiveness of the masks, they were “very uncomfortable and unlikely to be tolerated for extended periods of time.”
"
13,72,"January 14, 2022",half-true, Fully vaccinated Australians in hospital for COVID-19 surpass unvaccinated ,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",https://www.politifact.com/factchecks/2022/jan/14/blog-posting/australia-vaccination-status-hospitalized-covid-19/,"An Epoch Times headline shared on social media said Fully vaccinated Australians in hospital for COVID-19 surpass unvaccinated. The headline suggests that vaccinated people are more susceptible to severe illness from the virus than unvaccinated people. But the headline misrepresents the data cited in the article, parts of which are accessible only to paying subscribers. The article is about data from one Australian state — not the whole country — where there were more vaccinated people in the hospital than unvaccinated people. But nearly 93% of eligible people in the state are vaccinated. Coupled with the fact that more than 50% of those in the ICU with COVID-19 were unvaccinated, experts say, the figures demonstrate the vaccines’ effectiveness in preventing severe illness. The statement is partially accurate but leaves out important details or takes things out of context.","The article cites data primarily about one Australian state, New South Wales.
The vast majority of the vaccine-eligible population in New South Wales is vaccinated against COVID-19, reaching 93%.
Coupled with the fact that more than 50% of those in the ICU with COVID-19 were unvaccinated, experts say, the figures demonstrate the vaccines’ effectiveness in preventing severe illness.
"
14,80,"December 14, 2021",half-true," Says Joe Biden shut down travel from 8 countries in response to the Omicron variant, but he refuses to require a #COVID19 test for illegal immigrants crossing our Southern border. ","['Immigration', 'Border Security', 'Wisconsin', 'Coronavirus', 'Glenn Grothman']",https://www.politifact.com/factchecks/2021/dec/14/glenn-grothman/some-migrants-being-tested-covid-southern-border-o/,"Grothman claimed that Biden halted travel from eight countries due to the discovery of the Omicron variant, but was still allowing migrants crossing the Southern border to go untested. Biden did halt travel from eight African countries following the discovery of the variant there, in hopes of slowing the spread into the U.S. Meanwhile, at the southern border reports have shown there is no widespread testing federal agencies there. Instead, to the degree testing is occurring, local governments are being relied upon to do it. So Grothman is a bit off the mark there. That fits here.","President Joe Biden did ban travel from eight African countries, trying to slow down the spread of the Omicron variant of COVID-19
Widespread testing for migrants crossing the United States’ southern border is not being required, however.
But those showing symptoms of COVID-19 are required to take a test for the virus.
But in August, officials said they were relying on a patchwork of local governments and other contractors to do the testing, so the responsibility wasn’t completely on the federal government or Biden administration
"
15,81,"December 10, 2021",half-true," The United States had 589 coal-fired plants 10 years ago, and we re down to 504. … We are the only nation that has reduced our reliance (on) coal energy. ","['West Virginia', 'Environment', 'Energy', 'Joe Manchin']",https://www.politifact.com/factchecks/2021/dec/10/joe-manchin/how-far-has-us-cut-its-reliance-coal-compared-othe/,"Manchin said the U.S. had 589 coal-fired plants 10 years ago, and we re down to 504. … We are the only nation that has reduced our reliance as far as in coal energy. Manchin is broadly right to note that the U.S. has decreased its reliance on coal for generating electricity over the past decade, although he incorrectly labeled the units of measurement that went along with his figures. He also has a point that the U.S. has led the world in the number of retirements of coal-fired assets, but it’s worth noting that the U.S. is not alone, as other countries have also made significant cuts in coal-fired power over the same period."," Manchin is broadly right to note that the U.S. has decreased its reliance on coal for generating electricity over the past decade, although he incorrectly labeled the units of measurement that went along with his figures.
 He also has a point that the U.S. has led the world in the number of retirements of coal-fired assets. However, other countries have also made significant cuts in coal-fired power over the same period.
"
16,84,"December 2, 2021",half-true, A chart shows China and India are leading in per capita carbon dioxide emissions. ,"['Environment', 'Climate Change', 'Facebook Fact-checks', 'Facebook posts']",https://www.politifact.com/factchecks/2021/dec/02/facebook-posts/china-and-indias-carbon-dioxide-emissions-context/,"A Facebook post shows China and India leading in per capita CO2 emissions compared to the U.S., U.K., Germany and Japan between 1990 and 2019. When looking at the percentage change in per capita CO2 emissions from 1990-2019, China and India have seen the largest increases. Both countries had relatively low emissions in 1990, and they have grown a lot since then. The U.S., U.K., Germany and Japan already had high levels of emissions in 1990, and they have remained at high levels, with the U.S. leading the pack.","The chart is showing the percentage change or relative change in per capita CO2 emissions, rather than the absolute change.
The chart shows changes in per capita CO2 emissions beginning in 1990, when China and India had very low levels of per capita emissions, and they have grown a lot since then.
"
17,87,"November 23, 2021",half-true, Spike protein goes to nucleus and impairs DNA repair. ,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",https://www.politifact.com/factchecks/2021/nov/23/blog-posting/dna-damage-covid-19-spike-proteins-lab-study-does-/,"The study, however, contradicts findings from previous studies that were also conducted on isolated cells in a lab environment. Until their results are replicated in human studies, this has limited bearing on COVID-19 vaccines.","Findings from a lab-based study claiming that the spike protein of the COVID-19 virus causes DNA damage have been used to raise concerns about COVID-19 vaccine safety.
COVID-19 vaccines use a modified version of the spike protein that functions differently from what is programmed by the COVID-19 virus's genetic material.
Results need to be replicated in live animal or human studies to confirm clinical and physiological relevance.
"
18,90,"February 16, 2022",barely-true," Map shows states where all of the children… are back to living mask-free, normal lives. ","['Facebook Fact-checks', 'Coronavirus', 'Instagram posts']",https://www.politifact.com/factchecks/2022/feb/16/instagram-posts/absence-statewide-school-mask-mandates-does-not-me/,"An Instagram post says, All of the children in the green states are back to living mask-free, normal lives, and shows a map of the U.S. with the majority of states marked in green. Though the majority of states do not have statewide school mask mandates, individual school districts still have mandates. And many school districts also have quarantine requirements for students who are close contacts of those who test positive for COVID-19, which disrupts normal schooling."," Though the majority of states do not have statewide school mask mandates, individual school districts still have mandates. 
 The absence of state mask rules has not meant a full return to pre-pandemic “normal” at school in most places.
"
19,94,"February 10, 2022",barely-true, Requesting a chargeback is a better way to get back at GoFundMe. ,"['Facebook Fact-checks', 'Coronavirus', 'Facebook posts']",https://www.politifact.com/factchecks/2022/feb/10/facebook-posts/requesting-chargeback-probably-isnt-best-way-get-b/,"A Facebook post claimed that disputing credit card charges for GoFundMe Freedom Convoy 2022 donations and trying to hit GoFundMe with chargeback fees was a better way to get back at the company. An expert said it is unlikely banks would allow customers to pursue chargebacks after GoFundMe said it would issue refunds. An increase in chargeback requests could hurt a company, but a coordinated chargeback campaign might also prompt banks to deny chargeback requests, she said. RELATED: Looking at how many trucks are participating in the Freedom Convoy in Canada","GoFundMe took down the “Freedom Convoy 2022” fundraiser page, saying it violated a policy against promoting violence and harassment, and said it would refund those who donated.
Social media users encouraged people to dispute the donation charges on their credit cards, suggesting it would force GoFundMe to pay chargeback fees for each transaction.
An expert said it is unlikely banks would allow customers to pursue chargebacks after a company has announced it will issue refunds.
"
20,98,"February 9, 2022",barely-true, Embalmers finding ‘strange clots’ in jabbed people ,"['Coronavirus', 'NewsWars']",https://www.politifact.com/factchecks/2022/feb/09/newswars/no-clear-evidence-covid-19-vaccines-are-responsibl/,"A news article claimed that embalmers are finding ‘strange clots’ in jabbed people. The article gives the impression that the clots are linked to the COVID-19 vaccine. Embalmers say they have noticed an uptick in unusual blood clots. But experts noted that the COVID-19 infection itself can cause blood vessel inflammation, damage to very small vessels, and blood clots.","A handful of embalmers claim they started noticing strange blood clots in bodies after the COVID-19 pandemic began, with some attributing it to the vaccine.
The National Funeral Directors Association said embalmers in its network have noticed an uptick in blood clots in COVID-related deaths; however, it has been among the unvaccinated and vaccinated.
This anomaly may be the result of the coronavirus itself, since the infection can cause blood vessel inflammation, damage to very small vessels, and blood clots.
"
21,99,"February 8, 2022",barely-true," Clips of Dr. Anthony Fauci show he flip-flopped on guidance for wearing masks, whether kids should be in school and whether people should change how they interact. ","['Florida', 'Ad Watch', 'Coronavirus', 'Ron DeSantis']",https://www.politifact.com/factchecks/2022/feb/08/ron-desantis/ron-desantis-ad-fauci-flip-flops-leaves-out-reason/,"A new ad for DeSantis accuses Fauci of ‘flip-flopping’ on guidance for mask wearing, school closures and COVID-19 precautions. The ad splices together various clips of Fauci speaking, but selectively omits key context, words and caveats that would explain the changes in guidance and provide a more accurate picture of his position. These omissions and edits fundamentally alter the story that is being told. When Fauci said people did not need to walk around in masks, it was before scientists knew COVID-19 could be spread asymptomatically. When he said masks work, he indicated they do not work 100% but can help stem infection spread. When he said that fully vaccinated people should wear masks, he was talking about how to behave safely indoors after new data showed vaccinated people with breakthrough infections could transmit the highly contagious delta variant. When he said children should be kept home, his comments were specific to areas where there was high transmission early in the pandemic, before vaccines. When he said people didn’t need to change their behavior, it was in February 2020 when U.S. cases were few, but he added the caveat that that guidance could change. When he advised personal interaction should be diminished, it was March 2020, and he was speaking specifically of young people crowding into bars and restaurants. But these statements came at different points in the pandemic as scientists understood more about COVID-19. The video is edited in such a way as to mislead ignoring critical facts and cutting out words that would give a different impression.","A Ron DeSantis ad accusing Dr. Anthony Fauci of flip-flopping on his COVID-19 guidance leaves out key context about why guidance changed.
The edited clips of Fauci speaking leave out dates and the full context of Fauci’s words that would show viewers what was happening at the time.
Guidance on masks and other topics changed often during the pandemic as scientists learned more about COVID-19.
"
22,100,"February 4, 2022",barely-true, Ron DeSantis let millions of COVID-19 tests expire. ,"['Public Health', 'Florida', 'Ad Watch', 'Coronavirus', 'Charlie Crist']",https://www.politifact.com/factchecks/2022/feb/04/charlie-crist/charlie-crist-overstates-claim-about-millions-expi/,"Crist said DeSantis let millions of COVID-19 tests expire. Crist overstated the number of tests that expired, it was up to 1 million, not millions. Crist’s statement leaves the impression that the tests were no longer usable. However, because the tests were stored safely, the FDA has allowed the tests to be used March 2022. Nearly all tests have been distributed to testing sites, according to the state’s health department. DeSantis has acknowledged the tests twice passed their expiration dates in 2021. He attributed that to little demand from testing sites during most of the second half of 2021 and pending federal approval regarding the tests’ safety.","Crist overstated the number of expired tests, it was up to 1 million, not “millions.”
Crist’s statement leaves the impression that the tests were no longer usable. However, because the tests were stored safely, the U.S. Food and Drug Administration has allowed the tests to be used by March 2022.
DeSantis attributed their expiration to lack of demand and to pending approvals from the federal government. Before Florida could distribute the tests, the FDA had to sign off on their safety.
"
23,103,"January 31, 2022",barely-true," In the U.S., myocarditis cases among ages 12 to 20 numbered four in 2019; four in 2020; and 2,236 in 2021. ","['Facebook Fact-checks', 'Coronavirus', 'Facebook posts']",https://www.politifact.com/factchecks/2022/jan/31/facebook-posts/social-media-claim-misleads-risk-myocarditis/,"A Facebook post says in the U.S., myocarditis cases among ages 12 to 20 numbered four in 2019; four in 2020; and 2,236 in 2021. The post’s numbers are not far off: In 2019, there were 16 reports after all types of vaccinations; in 2020 there were nine reports; and in 2021, there were 2,301. Of the reports among people under 30 who had received COVID-19 vaccines, 1,005 met the criteria for myocarditis, pericarditis, or myopericarditis. The VAERS data does reflect an increase in reports of myocarditis among young people, and there is a small but increased risk for myocarditis after receiving COVID-19 vaccines made Pfizer and Moderna. However, the risk of myocarditis is small, symptoms are normally mild and professional medical groups and federal public health agencies have said the benefits of the vaccine far outweigh the risks. What’s more, myocarditis is more common following a COVID-19 infection.","  The risk of myocarditis, inflammation of the heart muscle, from COVID-19 vaccines is small and symptoms are normally mild. But contracting COVID-19 is “a strong and significant risk factor for myocarditis,” especially among children under 16 years old, according to the CDC.
 Professional medical groups and federal public health agencies have said the benefits of the COVID-19 vaccine far outweigh the risks.

"
24,104,"January 31, 2022",barely-true," Without a shred of clinical data to support its decision, the Biden Administration has revoked the emergency use authorization for lifesaving monoclonal antibody treatments. ","['Drugs', 'Public Health', 'Florida', 'Health Check', 'Coronavirus', 'Ron DeSantis']",https://www.politifact.com/factchecks/2022/jan/31/ron-desantis/fda-drug-companies-say-antibody-treatments-are-not/,"DeSantis said the FDA was blocking the use of lifesaving monoclonal antibody drugs without a shred of clinical data. That wording obscures the full story: There were several scientific studies — including ones from the drugmakers themselves — that found that the drugs from Regeneron and Eli Lilly are ineffective against the omicron variant. Omicron accounts for over 99% of new cases, and this class of drugs only works when given soon after diagnosis. While these drugs helped earlier in the pandemic, they are no longer lifesaving. The agency still allows four other drugs to be used against COVID-19, including another monoclonal antibody treatment called sotromivab, that do work against omicron.","The now-limited monoclonal antibody treatments are not lifesaving, nor are they effective against omicron. Eli Lilly’s treatment became nearly 3,000 times less effective against the variant, and REGEN-COV was more than 1,000 times less effective. The drug companies acknowledged this and stated that they’re working to provide updated treatments.
Other medicines are still available, including another monoclonal antibody treatment called sotromivab, Paxlovid, molnupiravir and remdesivir.
"
25,105,"January 31, 2022",barely-true," Biden won’t allow Delta-variant COVID patients to get proven and effective monoclonal treatments even though there are 50,000-100,000 Americans infected Delta EVERY DAY. ","['National', 'Public Health', 'Coronavirus', 'Tulsi Gabbard']",https://www.politifact.com/factchecks/2022/jan/31/tulsi-gabbard/fact-checking-tulsi-gabbards-misleading-claim-abou/,"Gabbard said, Biden won’t allow Delta-variant COVID patients to get proven and effective monoclonal treatments even though there are 50,000-100,000 Americans infected Delta EVERY DAY. Gabbard’s estimate of daily delta patients appears to be way off, with national surveillance data putting the average estimate closer to 1,000 cases a day. While the Biden administration has limited two monoclonal antibody treatments over their ineffectiveness against omicron,the FDA still allows four other drugs that remain effective for both variants, including another monoclonal antibody treatment called sotromivab. A person with the delta variant has a harder time now finding treatments for the disease; but the best data show that the number isn’t nearly as high as Gabbard said.","The FDA recently revoked its emergency use authorization on two monoclonal antibody treatments. Eventually delta-positive COVID-19 patients will likely be unable to get them.
The drugs were found to be ineffective against the omicron variant, which makes up nearly 100% of cases in the U.S. The FDA still allows four other drugs that remain effective for both variants, including another monoclonal antibody treatment called sotromivab.
Gabbard’s estimate of daily delta patients appears to be way off, with national surveillance data putting the average closer to 1,000 a day.
"
26,107,"January 26, 2022",barely-true, The CDC admits that natural immunity from prior infections is superior to vaccinated immunity alone. ,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",https://www.politifact.com/factchecks/2022/jan/26/blog-posting/blog-post-ignores-important-context-about-covid-19/,"A blog post claims, the CDC admits that natural immunity from prior infections is superior to vaccinated immunity alone. CDC researchers found that during the COVID-19 surge driven the delta variant, unvaccinated people who had already had the virus were less likely to get COVID-19 than fully vaccinated people who never had the disease. However, the study concluded that unvaccinated people are still at a high risk of reinfection and that the best defense against the virus remains being fully vaccinated. The study was done prior to the surge from the omicron variant and before COVID-19 vaccine booster shots became widely available.","A CDC study on the spread of the delta variant found that unvaccinated people who were previously infected with COVID-19 accounted for fewer cases than fully vaccinated people who had never been infected.
However, the study was conducted before the spread of the more infectious omicron variant and before booster doses were widely offered to the public.
The CDC study said vaccination is the best form of protection against the virus, even for people who previously had COVID-19.
"
27,110,"January 21, 2022",barely-true, Moderna COVID vaccine is no longer recommended due to heart inflammation. ,"['Facebook Fact-checks', 'Coronavirus', 'Facebook posts']",https://www.politifact.com/factchecks/2022/jan/21/facebook-posts/headline-misleads-about-moderna-vaccine-recommenda/,"The headline on a blog article reads, Moderna COVID vaccine is no longer recommended due to heart inflammation. A new recommendation about the Moderna vaccine applies only to those under the age of 31 in one European country, Belgium, and only to the two initial doses, not boosters."," The Moderna COVID-19 vaccine has not been discredited. A new recommendation about the vaccine applies only to those under the age of 31 in one European country, Belgium.

"
28,115,"January 19, 2022",barely-true, Mask mandates on children lead to learning loss that harms early childhood development. ,"['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Scott Fitzgerald']",https://www.politifact.com/factchecks/2022/jan/19/scott-fitzgerald/lawmakers-claim-mask-mandates-harm-early-childhood/,"Fitzgerald claimed that mask mandates on children lead to learning loss that harms early childhood development. But the article he and his colleagues cited is an opinion piece, not based on a study. In addition, it came out before other formal studies were completed that showed a different view.","Public health officials pointed out the article cited as support was “not a study but an opinion paper.”
According to the U.S. Centers for Disease Control and Prevention, limited available data indicates “no clear evidence that masking impairs emotional or language development in children.”
"
