,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Context Length,Poem Length
10,“A federal court order has determined that the offspring of hippos once owned by drug kingpinPablo Escabar can be deemed ‘interested persons’ with legal rights in the United States.“,"Though El Patrón we may decry,
he’s indirectly done some good
allowing for the personhood
of bloats of hippopotami.
 
",,,,,,182,118
11,"“A French waiter fired for being ‘aggressive, rude and disrespectful’ says his behaviour wasn’t out of line—he’s just French. Guillaume Rey, who worked at a Vancouver restaurant on Canada’s Pacific coast, filed a complaint with British Columbia’s Human Rights Tribunal against his former employer, claiming ‘discrimination against my culture.’ … In alleging discrimination Rey said French culture just ‘tends to be more direct and expressive.'","You say I am aggressive, hein?
You’ve dared to call me rude?
You think I’m penitent? De rien;
Va-t-en and eat your food

(So called). If you’d the least soupçon
Of cultural respect,
You’d say instead, mon pauvre con,
“Expressive” and “direct.”

You hate expressiveness? Eh bien,
It is la France you hate,
Petit crétin de Canadien.
For one snatched dinner plate,

One glutton speeded up un peu,
Or aided, malgré lui,
With some expressive word ou deux,
You want me out? Tant pis:

I’ll prove myself a true Français,
Whatever my locale!
That’s all we have to say, chez Rey.
See you au tribunal.


",Topical/Witty/Wit-Wordplay,,,,,443,594
12,“A Nebraska state lawmaker apologized on Monday after he publicly citeda… debunked rumor alleging that schools are placing litter boxes in school bathrooms to accommodate children who self-identify as cats.” ,"The trans-est cat Nebraska has
I’ll back on one condition:
Not self-identifying as
A yowling politician.
 
",,,,,,208,107
13,"“ABBA is back… featuring digital 3-D avatars of the band as it looked back in 1979.The avatars will sing the group’s recorded vocal tracks, with a live band accompanying them.“Among music critics, however, opinion was more divided.”"," Abbaca dabraca,
ABBA the supergroup
hopes that its members still
dazzle (despite
 
taking a 40-year
mega-sabbatical);
maybe they won’t, but their
Abbatars might.
 

",Silly,,,,,232,166
14,"“An Alleged Lock of Emily Dickinson’s Hair is Selling for $450,000… But Was it Stolen?“","I heard the Press buzz – when I died –
A Cutting – from the Locks
That I had grown – was now for sale –
For half a million – Bucks –
 
And all the Scholars – lost their minds –
Insurers too – because –
The Lock was stolen – so they said –
And possibly – it was –
 

",,,,,,87,266
15,"“An American tourist has caused €25,000 (£21,000) worth of damage after hurling her electric scooterdown Rome’s Spanish Steps. … The incident came two weeks after a visitor from Saudi Arabiadrove a Maserati down the flight of steps.“","I threw my scooter down the Steps;
He drove his Maserati;
They make you mad, these endless schleps
Each time you want gelati!
 
",,,,,,233,128
16,"“Boris Johnson admits he has known of lorry driver shortage for ‘long, long, long time'“Fuel and food shortages could last until Christmas, warns Boris Johnson”","(To the tune of “The Christmas Song”)
 
Parsnips rotting in a winter field,
Turkeys culled before our eyes.
Who can haul? Frankly, no one at all,
Since we ran out of fuel supplies.
 
Anybody know where all the pigs-in-blankets are?
Each and every one’s untucked.
Yuletide’s here, but forget festive cheer.
Britannia’s “Great” no more, it’s fucked.
 
Are there more truckers on their way?
Where are my pickles, panettone and pâté?
I pray they make it in the nick of time.
Thank God I signed up for Amazon Prime!
 
And so, I’m offering this Christmas thought.
Own up, you must have had it too.
My friends, this is it; we are deep in the shit,
Now we’ve left the EU.
 

",,,,,,160,667
17,“Britney Spears’ ex-husband crashes her wedding“,"How do I love thee? Let me count the ways.
I love, though I be poor while thou art rich.
My soul and thine, united three short days,
Yet ever in mine heart It’s Britney, bitch!
 
",,,,,,48,179
18,“Buffalo protester shoved by Police could be an ANTIFA provocateur.“,"The Cheshire cat could be a plant.
A squid could be a Douglas fir.
A Buffalo could be my aunt.
But Martin, a provocateur?
 
The cops could be space aliens.
The President could be a cur.
Yahoos could be Pygmalions.
Gugino, though: provocateur?
 
Could be you’re proud you learned a word
That could be used to cause a stir.
Could be, though flipping France the bird,
You’re smitten with provocateur.
 
A tweet could be a senseless rant,
Brown dreck could be a gift of myrrh,
Your pet could be Nast’s elephant,
But spare us, boss, provocateur.
 

",,,,,,68,544
19,"“Calls have erupted for ethical conflict-of-interest rules on America’s top court after it was revealed that Ginni Thomas, wife of the supreme court justice Clarence Thomas, pressed Donald Trump’s White Housechief of staff to overturn the results of the 2020 presidential election.“","Carry me back to old Virginni:
That’s where the angry right-wing commentators snort;
That’s where the words warble sweet in the Meadows;
That’s where we’ll find Donald’s own Supremest Court.
 
Carry me back to old Virginni:
There let me push expectations down and down;
Long by the old Dismal Swamp have I wandered;
Time to collapse now and wallow till I drown.
 

",,,,,,282,365
20,“CDC Recommends Against Thanksgiving Travel“,"Turkey’s roasting in the oven –
Dressing’s ready for the same –
Once the former’s on the platter –
Eating both will be our aim –
 
Plus these greens and those potatoes –
Cranberries preserved by you –
My pecan squares – baked and waiting –
All in all too much for two –
 

",,,,,,44,273
21,“China bans letter N (briefly) from the internet as Xi Jinping extends grip on power”“,"Cofrotig Xi Jipig’s itet
(Efarious edeavour!)
To bar ad ba, the Iteret
Itoes: It’s Ow or Ever!
 
",Topical/Witty/Wit-Wordplay,,,,,86,97
22,“COVID-defying nun toasts 117th birthday with wine and prayer“,"A toast to Sister André,
Who fends off ills and age
With vin rouge and her parlay
Avec Celestial Sage:
 
Our times need models fit for
Rebuilding virtues on.
My glass is raised, sweet Sister,
Dear André of Toulon!
 

",,,,,,62,217
23,“Donald Trump’s niece says president is dangerous…“,"Dear Uncle Don, I’ve penned a book
About what makes you tick:
A better-late-than-never look
At why your ball joints click.
 
I dive beneath the hood and yank
This wire, and pull that plug,
And thump each reservoir and tank,
And even comb the rug.
 
I note the wobbly steering wheel,
The billowing exhaust,
The gears that whine, the brakes that squeal,
And why, and at what cost.
 
Don’t fret: I’m classroom-certified
To fix the family brand.
My clientele will pay to ride.
I know you’ll understand.
 

",,,,,,51,502
24,“E.U. agrees to reopen to vaccinated visitors…“,"Hi, vaccinated visitor!
Meet Val and Vic and Viv!
Come visit Venice, Val d’Isère!
Your visa’s valid: Live!
 
Vaxed, vetted, voguing to the max,
Vamp V for Victory
Served vintage vino, gravlax snacks,
Vast vistas of the sea!
 
We’re taking reservations; view
The varied values now.
Willkommen! Sveiki! Bienvenue!
Oi! ¡Ven aquí! Viz: Ciao!
 

",,,,,,47,341
25,"“Earth is at the center of a 1,000-light-year-wide ‘Swiss cheese’ bubble carved out by supernovas“","Although la lune is not Swiss cheese,
Le clair’s a cheesy bubble!
Well, quel soufflé! (For recipes,
See books by Edwin Hubble.)
 
",,,,,,98,130
26,"“Elsa, the first hurricane of the 2021 Atlantic storm season, was downgraded to a tropical stormSaturday… impacts [were] expected to begin Monday in the Florida Keys and the southernFlorida Peninsula.“","Topical tropical
Elsa the Hurricane
kept South Floridians
on the qui vive,
 
begging the forces of
meteorology,
“Grant us a downgrade, or
elsa reprieve!”
 

",,,,,,201,157
27,"“English dictionary of ancient Greek ‘spares no blushes’ …The verb (chezo), translated by Liddell and Scott as ‘ease oneself, do one’s need’, is defined in the new dictionary as ‘to defecate’ and translated as ‘to shit’; … (bineo) is no longer ‘inire, coire, of illicit intercourse’, but ‘fuck’; (laikazo), in the 19th-century dictionary translated as ‘to wench’, is now defined as ‘perform fellatio’ and translated as ‘suck cocks’. …[One of the editors, Professor James] Diggle said. ‘We use contemporary English.’“","Professor James Diggle refuses to niggle:
The verb represented as chezo
He scorns to misread as mere “doing one’s need,”
Just because the Victorians said so.
 
For Diggle’s not wary but contemporary;
So leave those old tomes on the shelf,
Unless you still blench at words stronger than “wench,”
In which case, pray binei yourself.
 

",,,,,,516,334
28,“Expect more worrisome variants after omicron… Get ready to learn more Greek letters.“,"Epsilon, omicron,
worrisome variants
teach us Greek letters, re-
ports the AP.
 
Why are we using these
abecedarian
non-English labels? It’s
all Greek to me.
 

",,,,,,86,161
29,“Ex-Trump adviser… Larry Kudlow grumbles that Biden’s climate policieswould force Americans to drink ‘plant-based beer’…“,"(To the tune of “Goober Peas”)
 
Sitting in a Fox hole, full of peeve and bile,
Larry lists some foodstuffs absolutely vile:
Biden’s banning burgers—Armageddon’s here—
Mourn your Independence, drinking plant-based beer.
 
Beer, beer, beer, beer,
Drinking plant-based beer.
Goodness how pernicious,
Drinking plant-based beer.
 
COVID’s close to air-tight—well, it used to be;
Now they’ve got us masked, so nobody is free.
Yearning for some poultry? Too late now, I fear:
Lick your own sad fingers, drinking plant-based beer.
 
Beer, beer, beer, beer,
Drinking plant-based beer.
Goodness how seditious,
Drinking plant-based beer.
 

",,,,,,121,631
30,"“For the First Time in 200 Years, a New Blue Pigment Is Up for Sale… Named after its chemical components of yttrium, indium and manganese oxides,YInMn [pronounced ‘Yin Min’] absorbs red and green wavelengthswhile reflecting blue wavelengths to produce a bright blue color.“","(After Robert Frost)
 
Why make so much of pigmentary blue,
Fine ground-up lapis, woadish indigo,
Poisonous cobalt, smalt’s translucent glow,
Turquoise and zaffre (relatively new)?
 
Earth’s stuffed with proto-blue—the whole shebang
Of yttrium + indium (called YIn)
+ mounds of manganese! Come on, dig in:
YInMn is here, and waiting for MnYAng.
 

",,,,,,273,348
31,"“Germany celebrates birth of rare twin pandas at Berlin zoo[The] cubs will be returned to China once they no longer need their mother. But for now, Berlin is celebrating.“","O strike the sweet Harmonium
And blow the big Euphonium:
The panda fandom crowds the pen—
But all we’ve got’s a loan.
 
Accept our testimonium:
The Zoo’s in pandemonium:
We’ll have to hand ’em over—then
Prepare for Panda Moan.
 

",,,,,,171,230
32,“Giant planet around tiny star ‘should not exist’“,"A giant planet’s non-compliance
Shows disrespect for earthly Science.
It’s where it shouldn’t be, this planet.
UNESCO must take steps to ban it.
 
",,,,,,50,147
33,“Hawaiian-Jewish surfer Makua Rothman may have ridden the largest wave of all time“,"Oy Dude, it’s such a mitzvah
to ride a moving mikva.
Not since Moses dunked Yul Brynna
has the tribe spritzed such a winna!
 
",,,,,,83,126
34,“House Republicans stormed a closed-door hearing Wednesday to protest the Democrats’ swift-moving impeachment inquiry…“13 Republicans involved in impeachment protest already have access to hearings”,"(to the tune of Little Richard’s “You Keep a Knockin’”)
 
House members stompin’ say they can’t come in.
You keep us out? they say, we’ll barge right in!
Your secret hearings are a cryin’ sin,
and we’ll be comin’ back to try it again!
 
Here comes Lee Zeldin, Rep from New York One. (Ha!)
Why is he cocky, like a loaded gun? (Whooo!)
He’s got a seat, so why this bombin’ run?
He always stays until the hearing’s done!
 
Trump told him this is how we’re gonna win,
show me you love me, go and barge right in.
To turn this thing around, we need some spin.
You gotta have the guts to pull out the pin!
 
So Zeldin’s stompin’ down the road to Hell,
his belfry ringin’ like a broken bell.
He can’t smell sulfur, got no sense of smell.
That should be useful in a prison cell. (Whah!)
 
He keeps a stompin’ but he can come in.
He’s got to show the boss his skin’s not thin. (Whooo!)
Not easy playin’ rage not genuine,
knowin’ your party is a loony bin.
 
He keeps a stompin’ cause he doesn’t care
about the process that he calls unfair.
Next time he better bring a potty chair
to hold the crap he’s spewin’ into the air! (Whooo!)
 
House members stompin’ say they can’t come in.
You keep us out? they say, we’ll barge right in!
Your secret hearings are a cryin’ sin, 
and we’ll be comin’ back to try it again!
 

",,,,,,198,1306
35,“Houston investigators said exotic animal traffickers are likely moving a suddenly famous tigeraround from person to person to conceal its exact location.“,"Tiger, tiger, lately loosed on
Lawns and alleyways of Houston;
What lowlife’s menagerie
Now holds thee in captivity?
 
In what villain’s pen or shed
Dost thou lay thy fearful head?
Who so foolish as to cage
Thy crouching form of righteous rage?
 
What the prison, what the chain
Might this criminal restrain?
Is he soon to pace a cell
As cold as where thou now dost dwell?
 
Or will he attempt to flee?
Will he, while on the lam, face thee?
Will he find a soft, warm place
From whence his smile grows on thy face?
 
Tiger, tiger, lately loosed on
Lawns and alleyways of Houston;
What lowlife’s menagerie
Dare hold thee in captivity?
 

",,,,,,155,636
36,“How to Entirely Empty Your Bowels Every Morning—Top Surgeon Explains How“Inflation soars to an over 40-year high.”,"Rumpily dumpily
“Top Surgeon” lectures us.
Spare us the scalpel: We
Can, if we choose,
 
Summon the same result
Psychosomatically
Simply by switching on
NPR News.
 

",Topical/Witty/Wit-Wordplay,,,,,115,166
37,“I am your president of Law and Order.“,"If Don’s a DA, I’m Clark Kent,
A boast non compos mentis.
He’ll always be, as president,
The host of The Apprentice.
 
",,,,,,39,119
38,“I just wanted to tell you that your songs never stuck in my throat.“,"We’re thankful, as their spirits soar
And wry last words evoke them,
One thing The Dead were Grateful for
Was songs that didn’t choke them.
 
",,,,,,69,142
39,"“I met two T-shirt vendors who had parked their carts, full of Trump hats, hoodies and pins, in the path of the attendees. Angel Gaudet and Skaheen Thompson, both from South Carolina, have been following Trump to his rallies since his 2016 campaign. …I asked if they would support higher taxes for millionaires if it meant that people like them would get free healthcare. Gaudet didn’t hesitate. ‘No, because one day we might be the millionaires.’“","O what could hearten Mammon more
Than such accommodating prayers:
The aspirations of the poor
To be as mean as millionaires?
 
",,,,,,448,127
40,“I want to be an apparition.“,"Wish granted. As it had to be;
We’re ghosts of fleeting passions
Who, like designs in organdy,
Slip on, then off, like fashions.
 
",,,,,,29,131
41,"“I went through a phase of carrying Camus and Sartre under my arm, thinking that would be irresistible.“","I waited till Sartre linked arms with Camus:
Then I pounced, as you do:
Now we stroll round the Café de Flore, bras dessus
Bras dessous, bras dessous.
 
",,,,,,104,153
42,"“I’d also like to come up with a new breakfast strategy.I was cutting chunks of cold navel orange into plain yogurtthroughout citrus season, then scrambling eggs to eat on butteredfloured tortillas, then daubing apricot preserves onto store-bought croissants.All that eventually grew tiring, as can happen when you eat the same thingevery morning…“","My strategy is simple.
I down some coffee, black,
then maybe gulp a second cup.
I leave and don’t come back
 
Till dinnertime (I skip my lunch),
then pour myself a drink
and wolf whatever I can find
while standing at the sink.
 

",,,,,,348,230
43,"“I’m a Very Well-Bred Toff Says Ex-Showjumper who Daubed Pig’s Blood on Cheating Lord’s LIBRAS1m Flat”: After praising the “very nice judge” who let her walk free, [she] said: “Everything starts in Norfolk. It is a hotbed of sex. I am a very, very well-bred toff, I was born and bred in Norfolk. So many people have said I should write my life story but I am so bonkers I can’t remember it.”","How patrician this whole scenario:
Jumping lady and humping lord
(Sixty-three and a true Lothario);
Low-browed plebs must be over-awed.

Ex-Showjumper has found catharsis
Through this sanguinary jamboree;
Such impulsiveness quickly passes
With such aristocrats as she;

Blue-blooded character soon reconquers:
She’s regretful for what she did,
Characterizing herself as “bonkers”
(Charged, on top, fifteen thousand quid).

Now she’s doing Community Service,
Banned by miles from her Tory peer;
But the price of her fervent lurve is
Not so high as a prole might fear.

In South Africa, not in prison,
Fined the price of a Ritz cocktail,
Ex-Showjumper, her stock much risen,
Speaks her mind to the Daily Mail:

“The judge understood that we’re not like poor folk:
Toff-style passion’s what flutters our wigs;
Everything starts in naughty Norfolk—
Hotbed of sex, and poshos, and pigs.”


",Topical/Witty/Wit-Wordplay,,,,,391,885
44,"“In the last couple of decades, the world has become unmoored, crazier, somehow messier. The black swans are circling; chaos monkeys have been unleashed.“","I saw one monkey yesterday.
It gibbered on my lawn.
Since then black swans have made their way
into my dreams. I’ve gone
 
From dread to panic to despair,
but things keep getting worse!
Is there no Power anywhere
to throw them in reverse?
 

",,,,,,154,242
45,“Is Stephen Miller in charge?”,"How do we judge between Mueller and Miller?
Miller is shriller and looks like a killer;
After the hopes, though, excited by Mueller,
Some are reporting that Mueller is crueller.
 
",,,,,,30,180
46,"“Jane has never met [MyPillow founder] Mr. Lindell. She is not and has never been in any relationship with him, romantic or otherwise. She is, however, in full-fledged fantasy relationships with Brad Pitt, Rege-Jean Page and Kermit the Frog and welcomes any and all coverage on those.“","Mike’s a fan of Donald Trump.
Jane hangs out with Tina Fey.
What could gossip junkies make
Of their rumored pillow-play?
 
Hipster wokester lefties wailed
A bewildered whatthefowski!
Picturing the crackhead pillow
Squeezer squeezing Ms. Krakowski.
 
Heaven’s groupies on the right
Scorned a starlet bound for Hell
As unfit to pillow down
With God’s servant Mike Lindell.
 
Turns out we can all relax.
Jane’s word gives us cause to smile.
She and Mike have never met.
She’s more into froggy style.
 

",,,,,,285,500
47,“Kim Kardashian and Pete Davidson are dating but taking things ‘extra slow'“,"In gossip columns, funnymen
have always seemed inferior
to hero-types ’til Stoogey Pete
snagged Kim’s renowned posterior.
 
",,,,,,76,124
48,“Limping Pope Francis arrives in Malta“,"I thought it was his nickname when I read it,
Like Ageless Archie Moore or Tampa Red,
Then realized it was just a careless edit:
“A Limping Pope…” is what it should have said.
 
I sort of laughed—not what you’d call stentorian—
Then turned the pages: trouble heaped on trouble.
Interesting times, all right—for a historian;
Not so much while picking through the rubble.
 
The world could use a period of grace.
If Francis kneels to pray before the rood
Whenever something bad or dumb takes place,
No wonder that the poor guy’s knees are screwed.
 

",,,,,,39,549
49,“Lt. Gov. Josh Green today questioned a controversial plan to release low-risk jail inmatesto try to block the spread of the new coronavirus… telling state senators that…‘prison is safer than Costco.’“,"Waiting in line at the popular megastore,
six feet apart, we have reason to sulk;
everyone knows they are all out of Charmin, but
Covid-19? You can get it in bulk.
 
",,,,,,201,166
50,“Manchin’s $1.8 trillion spending offer is reportedly no longer on the table.“,"Don’t mention Joe Manchin,
That meanest of menschen,
That prime avalanche in
The path of subvention.
 
",,,,,,78,103
51,“Members of the Church of Satan are grieving the destruction of a historic ‘Halloween House’ north of New York City that authorities say was set ablaze by an unidentified arsonist.“,"(to be set to any tune that works for Isaac Watts)
 
Members of the Church of Satan,
Summon all your evil will!
Soon we’ll be redesecratin’
In a home more loathsome still.
 
What though all around seem cheerful,
Bright with sunlight and with soap?
While our hearts are vexed and fearful,
There is always anti-hope.
 
In despite of all that’s holy,
Have no faith and we shall see
That dark place foretold by Crowley,
Worse, far worse, than NYC.
 

",,,,,,181,447
52,“More great weather Wednesday“,"A Florida autumn isn’t what you want.
The trees are prudish and the nights are warm.
No ghost or poet would seek out to haunt
A palm tree forest in a thunderstorm.
 
A Florida autumn isn’t built to please.
It’s merely summer in November dress.
Just lift her skirt up past her knobby knees;
You’ll find hot August in a sultry mess.
 
A Florida autumn? A complete disgrace.
There is no cider, and there is no stew.
Retirees garden and bronze children race.
The only smoke is from a barbecue.
 

",,,,,,30,493
53,"“Nationalistic war film smashes Chinese box office records… [A Chinese magazine editor whoquestioned the film’s message] was censored, [his] Weibo account of two million followers takenoffline. He was detained by police… and faces up to three years in prison if convicted…“","Ominous dominance,
Chinese authorities
cultivate thinking that’s
proper, by force.
 
Anyone questioning
nationalistically
governed convictions? Con-
victed, of course.
 

",,,,,,273,171
54,“NBC’s Welker sharp in first turn as debate moderator“,"She called both rivals “Gentleman,”
Though one’s his class’s clown,
The other, aw-shucks Everyman.
She held malarkey down.
 
The ref who saw this match well run
And called foul punches out,
Beyond debate, Ms. Welker won
The campaign’s final bout.
 

",,,,,,54,250
55,"“No, I don’t consider them very serious injuries, relative to other injuries I’ve seen.“","Doc Don is quick with his decree;
Who needs a medical degree?
It’s just some headaches, he avers
(Not serious, like Doc’s bone spurs).
 
",,,,,,88,137
56,“One in 10 US police departments can now access videos from millions of privately ownedhome security cameras without a warrant.“,"“Is there anyone there?” said the traveller.
We were there. We saw and we heard.
As the gate and the plate in the gravel were
weighing him up, we referred
 
to our database. Friends and relations
are listed—their likes and their hates.
We’d have turned on the heating, switched stations,
made sure that the milk was in date.
 
But we can’t find a match in our records.
He’s come with a horse! And no phone.
The computer says “No” so we’ll check all
the locks. We are home here alone.
 
He is certain that he was expected.
His anguish does not go unheard.
We’ve recorded his message and texted
to tell you that he kept his word.
 

",,,,,,128,631
57,"“Pennsylvania man snaps picture of rare half-male, half-female cardinal“","Cardinal’s plumage shows
Gynandromorphism—
Gal on the left side and
Guy on the right,
 
Ornithological
Rarity sure to twist
Marjorie Taylor Greene’s
Knickers too tight.
 

",,,,,,72,172
58,“Pfizer Snobs Are Wrong. Johnson & Johnson Is the Coolest Vaccine.“,"It had to happen. Vaccine snobs.
You’d think they ran the lab.
Just proves we’re sentimental slobs:
Love me, love my jab.
 
",,,,,,67,124
59,“Please Put Calamity on Hold. Style Is on the Line.“,"Please put calamity on hold,
For Style is on the line.
It’s Paris Fashion Week. Be bold!
Come worship high design:
 
Bouclés and taffetas, tall boots,
Hot pants and bandeau tops—
What makes a world? Hot photo shoots.
A skinny glass of schnapps.
 
Don’t phone it in, then. Make the scene;
The cure for every blight,
With cavalcades of sylphs serene,
Couture will set you right.
 

",,,,,,52,380
60,“President Trump has suggested multiple timesto senior Homeland Security and national security officials that they explore using nuclear bombs to stop hurricanes from hitting the United States…“,"A storm approaches Florida
And the quandary of each resident
Is whether to fear the hurricane
Or nukes from their own president.
 
",,,,,,194,131
61,“Prince Harry and Meghan Markle Have Big Post-Baby Plans for Frogmore Cottage“,"Each day we’re agog more—
All Twitter’s been beggin’:
What tidings from Frogmore
Of Harry and Meghan?
 
He’s heading the dad poll,
Her smile is high wattage:
All hail the new Tadpole
Of Frogmore-than-Cottage!
 

",,,,,,78,212
62,“Residents of a Sydney suburb have been warned to be on the lookout for a massive snake …after its skin was spotted at a property on Thursday.“,"O the hubbub in the suburb!
Local panic is profuse,
For a goer of a boa
Is at large and on the loose.
 
If you’re certain you’ve a serpent,
‘Tis no time to act perverse.
Be not stupid, do not spot it:
Spots will only make it worse.
 

",,,,,,143,235
63,“San Francisco’s mayor blasted for dancing maskless at a crowded club.She called her critics the ‘fun police.’“,"Six weeks ago, Miss Breed decreed
that those in indoor spaces
must show their papers at the door
and muzzle-up their faces.
 
But after letting droplets fly
at Tony! Toni! Toné!
it seems the mayor’s well aware
her ruling was boloney.
 

",,,,,,111,237
64,"“Simone Biles… became the first woman to compete a Yurchenko double pike, a vault so difficultfew men even attempt it. She is pushing the boundaries of her sport… . Yet, based on guidancefrom the [International Gymnastics Federation], judges at the U.S. Classic gave her new vault a startvalue—the measure of its difficulty—of just 6.6 points. Pretty much everyone agrees that woefullyundervalues the skill.“","Simone, all alone in a league of her own,
The goat who can float like a boat in the bay
While the sheep stand and weep, for the water’s too deep,
Simone, rhinestones sewn, braves the waves, sets the tone.
 
Simone in the zone is a queen on a throne.
Why vote to demote Biley Goat’s deft display?
“We must keep all the sheep from attempting the leap,”
Herders drone in the tone of a dull chaperone.
 

",Topical/Witty/Wit-Wordplay,,,,,408,401
65,"“Somebody in the Kalahari Had a Crystal Collection 105,000 Years Ago“","Before Lalique and Baccarat
And Waterford and Steuben,
Our ancestors cried out, “Ça va!”
For glass to plunk a cube in.
 
",,,,,,69,121
66,“Southfield funeral director hopes Barbie will bring more women to her profession“,"Barbie’s had a zillion jobs:
Teaching, Flying, Baking…
But Funeral Director’d be
A major undertaking.
 
",,,,,,82,104
67,“Suez Canal traffic jam ‘cleared’ days after Ever Given cargo ship freed“,"Tell me, who is
Stuck in Suez?
MV Ever
Given? Never!
 
Ever Given?
Was she driven
By a cretin?
Call’s not yet in;
 
Some tribunal
Surely soon’ll
Find the answer:
Did some chancer
 
Fraud or tyro,
Come to Cairo,
Wreaking mess-ups?
Had De Lesseps—
 
Mining master,
Granite-blaster—
Seen ahead to
What it led to,
 
He’d have left it;
But he cleft it.
Now the vessel
Has to nestle
 
(Or she’d splinter)
Somewhere inter-
Continental,
Monumental,
 
Traffic-blocking,
Market-shocking,
Wedged and dented,
Much-resented,
 
And in Suez,
Where the view is
Wrecked and riven,
Unforgiven
 

",,,,,,73,578
